path_sparsity,mem_footprint,title_base,m,n,nnz,computed_sparsity,nnz_per_row_avg,nnz_per_row_std,bw_avg_n,nnz_max_diff,num_neigh_avg,cross_row_similarity_avg,GFLOPS-AOCL-k=256,GFLOPS-COO_ColInd0_Vec-k=256,GFLOPS-COO_Hilbert_Seg_NoAtomic-k=256,GFLOPS-COO_RowSplit_Vec-k=256,GFLOPS-COO_Z_Seg_NoAtomic-k=256,GFLOPS-MKL_IE-k=256
0.95,0.13354,body_decoder_layer_5_encdec_attention_multihead_attention_k,512,512,11498,0.9561386108,22.45703125,9.165263768,0.8846511841,2.3397112541,0.0974082449,0.1476144965,262.06,376.47,274.38,310.04,244.17,262.56
0.95,0.58468,body_decoder_layer_5_encdec_attention_multihead_attention_output_transform,512,512,50919,0.8057594299,99.451171875,12.1062015436,0.9843215942,0.6691608241,0.3995365188,0.4866224848,439.41,593.04,372.66,491.46,395.54,298.6
0.95,0.18455,body_decoder_layer_5_encdec_attention_multihead_attention_q,512,512,15955,0.9391365051,31.162109375,11.9606732639,0.9265403748,1.0216859919,0.1482920715,0.1824822542,272.09,352.34,262.28,302.04,258.42,219.36
0.95,0.40958,body_decoder_layer_5_encdec_attention_multihead_attention_v,512,512,35619,0.8641242981,69.568359375,15.9933828737,0.9481391907,0.6530503383,0.3088239423,0.3810926576,333.29,552.69,390.08,466.69,363.43,296.39
0.95,1.04652,body_decoder_layer_5_ffn_conv1,2048,512,90763,0.913441658,44.3178710938,18.3832898222,0.9491167068,2.9261813735,0.1982085211,0.23950315,435.46,608.96,451.78,495.78,447.33,356.22
0.95,0.76735,body_decoder_layer_5_ffn_conv2,512,2048,66881,0.936217308,130.626953125,42.0474004298,0.9840373993,6.4640032296,0.1424619847,0.197317991,348.99,616.34,368.0,392.24,344.74,271.43
0.95,0.02498,body_decoder_layer_5_self_attention_multihead_attention_k,512,512,2012,0.9923248291,3.9296875,3.8378941038,0.4046134949,6.37972167,0.0357852883,0.0865398548,76.92,114.17,94.07,100.1,94.63,80.61
0.95,0.11332,body_decoder_layer_5_self_attention_multihead_attention_output_transform,512,512,9731,0.9628791809,19.005859375,11.2840614937,0.8095588684,10.1544548351,0.1268112219,0.1439015609,178.35,284.16,200.0,251.33,221.97,189.92
0.95,0.02648,body_decoder_layer_5_self_attention_multihead_attention_q,512,512,2143,0.9918251038,4.185546875,4.3717338359,0.42710495,8.7956136258,0.0317312179,0.0590923151,75.85,114.74,103.81,109.05,99.66,76.62
0.95,0.09534,body_decoder_layer_5_self_attention_multihead_attention_v,512,512,8160,0.9688720703,15.9375,10.0558984556,0.8144416809,2.0117647059,0.0835784314,0.0942337788,133.55,252.95,208.07,229.17,195.42,174.11
0.95,0.1755,body_encoder_layer_5_ffn_conv1,2048,512,14652,0.9860267639,7.154296875,12.7502535626,0.3340787888,16.7515697516,0.131995632,0.0991048311,160.85,283.97,240.02,269.31,232.41,180.91
0.95,0.10923,body_encoder_layer_5_ffn_conv2,512,2048,9374,0.991060257,18.30859375,18.0659189123,0.8789987564,16.8604651163,0.0298698528,0.060210071,204.61,254.87,192.95,213.73,191.28,194.67
0.95,0.03489,body_encoder_layer_5_self_attention_multihead_attention_k,512,512,2878,0.9890213013,5.62109375,6.3122667326,0.4317398071,5.7602501737,0.0701876303,0.0888825876,75.61,132.84,119.69,127.4,114.17,72.56
0.95,0.06612,body_encoder_layer_5_self_attention_multihead_attention_output_transform,512,512,5607,0.9786109924,10.951171875,7.5205161185,0.7249565125,8.4967005529,0.1369716426,0.1263888786,140.24,216.87,172.5,197.71,173.44,159.2
0.95,0.03202,body_encoder_layer_5_self_attention_multihead_attention_q,512,512,2627,0.9899787903,5.130859375,5.5744661358,0.4209136963,4.2622763609,0.0875523411,0.0847157243,72.88,137.7,111.11,128.17,115.49,70.43
0.95,0.04987,body_encoder_layer_5_self_attention_multihead_attention_v,512,512,4187,0.9840278625,8.177734375,9.363203638,0.5162658691,5.3587294005,0.0864580845,0.0635253698,71.21,181.79,153.7,173.84,155.06,64.62
0.95,14.4439,symbol_modality_33288_512_shared_weights_0_aux,33288,512,1251031,0.926597575,37.5820415765,36.5026204333,0.892825258,9.5369475257,0.2871711412,0.2142820107,206.88,632.22,447.2,495.82,434.43,330.21
0.95,15.71717,symbol_modality_33288_512_shared_weights_0_aux,33288,512,1362291,0.9200695563,40.9243871665,29.3019333998,0.9193154252,8.9940409208,0.2443457382,0.2419099202,206.88,632.22,447.2,495.82,434.43,330.21
0.95,0.15195,body_decoder_layer_0_encdec_attention_multihead_attention_k_fully_connected,512,512,13107,0.9500007629,25.599609375,9.9922743518,0.916305542,1.0312809949,0.1184100099,0.1440910982,185.53,330.68,259.16,287.9,241.74,223.1
0.95,0.15195,body_decoder_layer_0_encdec_attention_multihead_attention_output_transform_fully_connected,512,512,13107,0.9500007629,25.599609375,15.8730879706,0.9008522034,12.2814526589,0.1420614939,0.1492938582,143.72,315.82,162.23,270.89,172.97,150.51
0.95,0.15195,body_decoder_layer_0_encdec_attention_multihead_attention_q_fully_connected,512,512,13107,0.9500007629,25.599609375,8.9885908502,0.9236335754,1.1484702831,0.1170366979,0.1445477972,139.6,212.97,151.95,182.86,146.13,139.06
