title_base,GFLOPS-AOCL-k=256,GFLOPS-COO_ColInd0_Vec-k=256,GFLOPS-COO_Hilbert_Seg_NoAtomic-k=256,GFLOPS-COO_RowSplit_Vec-k=256,GFLOPS-COO_Z_Seg_NoAtomic-k=256,GFLOPS-MKL_IE-k=256
body_decoder_layer_0_encdec_attention_multihead_attention_k_fully_connected,383.58,516.21,375.92,429.13,349.34,167.27
body_decoder_layer_0_encdec_attention_multihead_attention_output_transform_fully_connected,393.14,520.16,345.05,433.56,331.23,231.34
body_decoder_layer_0_encdec_attention_multihead_attention_q_fully_connected,390.42,501.80,359.92,423.54,339.89,222.95
body_decoder_layer_0_encdec_attention_multihead_attention_v_fully_connected,384.28,518.19,346.68,434.29,339.50,300.46
body_decoder_layer_0_ffn_conv1_fully_connected,452.72,643.31,424.12,489.80,448.78,366.07
body_decoder_layer_0_ffn_conv2_fully_connected,416.66,625.61,379.77,390.67,371.78,270.75
body_decoder_layer_0_self_attention_multihead_attention_k_fully_connected,288.95,500.86,361.48,429.52,344.71,309.74
body_decoder_layer_0_self_attention_multihead_attention_output_transform_fully_connected,387.15,508.76,349.79,427.47,337.43,144.25
body_decoder_layer_0_self_attention_multihead_attention_q_fully_connected,391.08,506.92,341.65,411.97,336.70,228.60
body_decoder_layer_0_self_attention_multihead_attention_v_fully_connected,392.26,513.14,376.96,439.64,359.70,260.22
body_decoder_layer_1_encdec_attention_multihead_attention_k,211.27,586.44,393.16,478.29,365.86,304.23
body_decoder_layer_1_encdec_attention_multihead_attention_output_transform,363.14,476.56,338.87,423.85,324.89,319.87
body_decoder_layer_1_encdec_attention_multihead_attention_q,144.63,421.62,279.90,360.49,280.63,250.87
body_decoder_layer_1_encdec_attention_multihead_attention_v,111.16,361.12,257.76,309.77,252.98,225.45
body_decoder_layer_1_ffn_conv1,346.46,516.02,403.86,438.26,400.80,296.78
body_decoder_layer_1_ffn_conv2,389.99,517.59,339.56,398.75,325.85,283.34
body_decoder_layer_1_self_attention_multihead_attention_k,340.32,548.74,391.59,457.01,363.16,301.42
body_decoder_layer_1_self_attention_multihead_attention_output_transform,395.33,538.83,380.27,465.13,352.69,331.14
body_decoder_layer_1_self_attention_multihead_attention_q,246.97,369.37,278.82,345.46,270.21,262.31
body_decoder_layer_1_self_attention_multihead_attention_v,206.29,438.28,293.11,379.06,286.96,260.18
body_decoder_layer_4_encdec_attention_multihead_attention_k,353.35,489.91,325.05,401.43,316.01,264.70
body_decoder_layer_4_encdec_attention_multihead_attention_output_transform,439.52,619.93,455.02,497.49,443.22,312.75
body_decoder_layer_4_encdec_attention_multihead_attention_q,380.68,521.64,363.09,439.25,337.54,284.39
body_decoder_layer_4_encdec_attention_multihead_attention_v,407.38,608.98,445.09,494.98,427.55,309.73
body_decoder_layer_4_ffn_conv1,467.40,670.98,476.62,501.90,425.26,331.36
body_decoder_layer_4_ffn_conv2,397.93,649.11,399.57,400.92,394.37,271.46
body_decoder_layer_4_self_attention_multihead_attention_k,295.02,430.22,313.43,359.07,297.16,278.36
body_decoder_layer_4_self_attention_multihead_attention_output_transform,423.25,560.65,394.14,477.05,375.71,303.44
body_decoder_layer_4_self_attention_multihead_attention_q,297.21,453.48,304.24,388.31,307.31,279.15
body_decoder_layer_4_self_attention_multihead_attention_v,366.97,559.90,390.30,464.20,353.73,307.38
body_decoder_layer_5_encdec_attention_multihead_attention_k_fully_connected,374.30,270.34,203.94,228.31,205.66,171.05
body_decoder_layer_5_encdec_attention_multihead_attention_output_transform_fully_connected,368.86,517.68,369.77,434.56,349.85,315.31
body_decoder_layer_5_encdec_attention_multihead_attention_q_fully_connected,372.19,512.37,365.79,441.68,340.17,257.82
body_decoder_layer_5_encdec_attention_multihead_attention_v_fully_connected,351.25,513.15,353.71,432.22,334.27,307.67
body_decoder_layer_5_ffn_conv1_fully_connected,452.19,617.74,462.61,493.72,436.73,341.13
body_decoder_layer_5_ffn_conv2_fully_connected,377.27,574.17,374.62,375.28,360.05,272.15
body_decoder_layer_5_self_attention_multihead_attention_k_fully_connected,374.21,506.56,359.21,432.66,330.76,322.29
body_decoder_layer_5_self_attention_multihead_attention_output_transform_fully_connected,354.18,498.27,332.01,427.33,325.50,211.04
body_decoder_layer_5_self_attention_multihead_attention_q_fully_connected,362.96,515.30,363.39,432.12,325.32,311.04
body_decoder_layer_5_self_attention_multihead_attention_v_fully_connected,334.01,514.14,336.13,430.07,327.05,259.95
body_encoder_layer_0_ffn_conv1_fully_connected,453.38,623.25,432.66,499.93,443.36,348.67
body_encoder_layer_0_ffn_conv2_fully_connected,419.02,655.34,373.08,398.01,366.10,272.27
body_encoder_layer_0_self_attention_multihead_attention_k_fully_connected,401.29,515.70,337.10,442.67,333.73,307.40
body_encoder_layer_0_self_attention_multihead_attention_output_transform_fully_connected,389.95,507.74,339.71,432.11,328.82,307.78
body_encoder_layer_0_self_attention_multihead_attention_q_fully_connected,377.92,511.57,365.27,436.01,346.26,253.62
body_encoder_layer_0_self_attention_multihead_attention_v_fully_connected,293.73,386.25,285.42,330.68,277.94,233.13
body_encoder_layer_1_ffn_conv1,248.20,415.28,326.80,364.97,311.85,255.30
body_encoder_layer_1_ffn_conv2,328.33,477.23,321.74,399.57,306.88,283.19
body_encoder_layer_1_self_attention_multihead_attention_k,134.07,275.26,214.29,243.43,218.80,178.48
body_encoder_layer_1_self_attention_multihead_attention_output_transform,272.67,369.64,288.24,328.42,281.44,244.91
body_encoder_layer_1_self_attention_multihead_attention_q,86.00,163.64,129.26,137.95,129.07,79.65
